Name,Title,Departments,Research Keywords,Faculty Information,Office Room,Location,Website
Adam Szubin,Distinguished Practitioner-in-Residence,Washington DC,Counter Proliferation; Financial Intelligence; International Counterterrorism; International Law; Money Laundering; Sanctions; Terrorism Litigation,,BOB 520B,Milton S Eisenhower Library,
Adam Webb,Resident Professor ,Hopkins-Nanjing Center,"Culture, Religion and Politics; Globalization; Rural Development",,Hopkins-Nanjing Center,Krieger Hall,
Adria Lawrence,Associate Professor ,"Program in International Studies,Department of Political Science,Washington DC","Nationalism and Ethnicity, Colonialism and Empire, Social Movements and Contentious Politics, Political Identities, State Formation, Authoritarianism, Middle Eastern and North African Politics",Adria Lawrence is the Aronson Associate Professor of International Studies and Political Science at Johns Hopkins University. Her research examines violent and non-violent conflict in colonial and authoritarian regimes.,270 Mergenthaler/ BOB 622,Keyser Quad,https://adrialawrence.org/
Adrian Haith,Assistant Professor,Neurology,Motor control. Motor learning. Habit formation. Cognitive Control.,"My lab's research is focused on developing and testing theories of how the brain controls movement of the body, and how it learns to improve its control through experience. We study this through a combination of behavioral experiments with human participants, and computational models.",Carnegie 209,3520 San Martin Dr,http://blam-lab.org/index.php/people/adrian-haith/
Agbessi Amouzou,Associate Professor,International Health,"Demographychild health and mortalitycoverage of maternal, newborn and child health interventionshealth equitylarge scale program evaluationhousehold surveys",,"615 N. Wolfe Street, Room E5616, Baltimore, Maryland 21205",615 N. Wolfe Street,
Akshata Hopkins,Assistant Professor ,Pediatrics,,,All Children's Hospital,1800 Orleans St,
Alain Labrique,Associate Professor,"Biomedical Engineering,International Health","Center for Human Nutrition, Center for Global Health, International Injury Research Unit, Community Trials, Neonatal and Maternal Mortality, Mortality in Women of Reproductive Age (Violence), Field research methods, Integrated Health Systems Technologies, Health seeking behavior, Hepatitis E (HEV), Maternal Morbidity, Pregnancy and Infection, Evil Spirits and Infectious Diseases, Public Health Technology, Appropriate Technology, Assessment and Diagnostics, New Media and Public Health, mHealth and Mobile P...",,"615 N. Wolfe Street, Room W5501, Baltimore, Maryland 21205",615 N. Wolfe Street,
Alan Scott,Professor,"Medicine,Biochemistry and Molecular Biology,Environmental Health and Engineering,International Health,Molecular Microbiology and Immunology","Molecular Microbiology and Immunology, parasitic nematodes, biology, infections, parasites, filarial nematodes, asthma, allergy, gene expression analysis, genomics, gene array, micro array",,"615 N. Wolfe Street, Room E5152, Baltimore, Maryland 21205",615 N. Wolfe Street,
Alan Yuille,Bloomberg Distinguished Professor,"Department of Cognitive Science,Computer Science,Institute for Data Intensive Engineering & Science (IDIES)"," Computational models of vision, mathematical models of cognition, and artificial intelligence and neural networks","The main goal of the CCVL (Computational Cognition, Vision, and Learning) research group is to develop mathematical models of vision and cognition. These models are intended primarily for designing artificial (computer) vision systems. Learning is required for extracting knowledge from data. Practical applications include vision for the disabled. These models also serve as computational models of biological vision which can be tested by behavioral methods and, in collaborative projects, with invasive, and non-invasive neuroscience techniques. We also study how humans and animals perform cognitive tasks such as learning and reasoning. In addition, we also use machine learning for interpreting medical images and studying brain function.",Clark 324B | Krieger 147 (lab),Clark Hall,https://ccvl.jhu.edu/
Albert Lau,Associate Professor,"Biophysics and Biophysical Chemistry,Institute for Basic Biomedical Sciences (IBBS)"," Glutamate receptors; Neural receptor proteins; central nervous system, synaptic plasticity, computational biology, intracellular communication, ionotropic glutamate receptors, neurological disorders "," The Lau Lab uses a combination of computational and experimental approaches to study the atomic and molecular details governing the function of protein complexes involved in intercellular communication. We study ionotropic glutamate receptors (iGluRs), which are ligand-gated ion channels that mediate the majority of excitatory synaptic transmission in the central nervous system. iGluRs are important in synaptic plasticity, which underlies learning and memory. Receptor dysfunction has been implicated in a number of neurological disorders. ",706 WBSB,Wood Basic Science Building,https://www.hopkinsmedicine.org/research/labs/albert-lau-lab
Albert Wu,Professor,"Medicine,Surgery,Health Policy and Management",Patient SafetySecond VictimDisclosureIncident ReportingNear MissQuality of LifeComparative Effectiveness ResearchPatient Centered Outcomes ResearchQuality of CareMOS-HIV Health SurveyCommunity Based Participatory Research,,"624 N. Broadway, Hampton House 653, Baltimore, Maryland 21205",624 N. Broadway,
Alden Gross,Associate Professor,"Epidemiology,Mental Health",Measurement harmonization; Cognition; aging; latent variable methods; psychometric measurement; longitudinal analysis; Alzheimer's disease; neuropsychology,"I am a psychiatric epidemiologist with a substantive research interests in cognitive aging and mental health. I have a strong methodological background, with an interest in statistical methods relevant to mental health and experience with primary data collection, secondary data analysis, and tools for psychometric measurement. My substantive areas of research revolve around cognition and everyday function among older adults, and the application of latent variable modeling techniques in gerontology. I have published substantive and methodological research in cognitive aging using experimental psychological, neuropsychological, psychometric, and epidemiological perspectives. My career goals are to (1) practice and disseminate epidemiologic and statistical methods that advance gerontology research and (2) translate epidemiological findings into meaningful public health applications. I have experience with primary data collection and data management through two large NIA program projects, the Baltimore Experience Corps trial and the Successful AGing after Elective Surgery Study.","2024 E. Monument Street , Baltimore, Maryland 21205",2024 E. Monument Street,
Aleksander Popel,Professor,"Biomedical Engineering,Medicine,Oncology, Sidney Kimmel Comprehensive Cancer Center","Systems biology, computational biology, computational medicine, angiogenesis, cancer, immuno-oncology, cancer immunotherapy, quantitative systems pharmacology, peripheral arterial disease, Computational Medicine, Genomics and Systems Biology, Immunoengineering, Translational Cell and Tissue Engineering","The overarching goal of the Systems Biology Laboratory is to apply modern methods of biomedical engineering to better understand the mechanisms of cancer and to significantly advance treatments for this devastating disease. Cancer cells invade into healthy tissues and co-opt these tissues into promoting tumor growth and metastasis. They use multitude of ways to evade therapeutics by adapting to drugs making them ineffective. To control and conquer the disease, the applications of modern quantitative methods are absolutely necessary; our laboratory is at the cutting edge of the cancer systems biology research. The research in the laboratory is broad and uses a combination of experimental and computational approaches. We investigate cancer at different levels from genes to proteins to tumor, and eventually to the whole body. We look into the ways the factors that stimulate tumor growth (eg growth factors) signal to the interior of the cell, and how cancer cells communicate with their neighbors such as immune cells and vascular cells. We develop and test novel drugs to treat different types of cancer.

Our research focuses on the following areas:

Fundamental studies of cancer biology to better understand how different cells interact to cause cancer metastasis
Identification of novel molecular drug targets for different types of cancer
Drug discovery including therapeutic peptide agents to inhibit tumor growth and metastasis
Immuno-oncology aimed at turning patient’s immune system to targeting cancer cells",Traylor 611,Traylor,https://popellab.johnshopkins.edu/
Alessandro Angelini,Assistant Professor ,"Program in International Studies,Program in Latin American Studies,Department of Anthropology","urban anthropology, social inequality, capitalism, imagination, play and everyday life, art, craft, political economy, historical ethnography, anthropological method; Latin America, Brazil, Atlantic World","I have begun research on Rio’s ‘Smarter Cities’ initiative, a digital dashboard for managing the city as a real-time flow of climate, crime, and traffic data, to investigate how information technology and remote sensing confront the geography of racial difference. Another project will examine diasporic African histories that shaped port cities since the trans-Atlantic slave trade through the lens of contemporary urban waterfront redevelopment.  ",Mergenthaler Hall 466,Keyser Quad,
Alessandro Zannirato,Associate Teaching Professor,"Modern Languages and Literatures,Italian Program","foreign language pedagogy; foreign language teacher training; liaison, community and conference interpreting; program evaluation.",,Gilman 448B,Gilman Hall,
Alex Kolodkin,Professor ,"Molecular Biology and Genetics,Neuroscience,Institute for Basic Biomedical Sciences (IBBS)","Developmental Neuroscience; Cellular, Molecular Neuroscience"," Research in our laboratory is focused on understanding how neuronal connectivity is established during embryonic and postnatal development. We investigate the functions of guidance cues and their receptors in axon guidance, dendritic morphology, and synapse formation and function. Current projects investigate the origins of laminar organization in the CNS, including regulation of neurite stratification in the mouse retina, and also how retinal ganglion cell axons establish connections to retinorecipient targets in the brain: with a particular interest in direction-selective visual system circuits. In addition, we study cellular and molecular mechanisms that regulate laminar organization of neuronal processes in the mouse neocortex.&nbsp; ",PCTB 1001,725 N Wolfe St,https://www.kolodkinlab.com/
Alex Szalay,Bloomberg Distinguished Professor ,"Department of Physics & Astronomy,Computer Science,Dermatology,Oncology, Sidney Kimmel Comprehensive Cancer Center","Cosmology; Dark matter, neutrino mass; Large Scale Structure, Hot Dark Matter; The Large Scale Power Spectrum, Galaxy Formation; Cosmological Redshift-Space Distortions; Spatial Statistics; Data-Intensive Computing Architectures: the SciServer; Life Under Your Feet: Wireless Sensor Networks in Ecology; AI driven astronomy: AI Powered Science Accelerator; Numerical Laboratories: turbulence , oceanogaphy, cosmology; AstroPath: Big Data in Cancer Immunotherapy; The SDSS Project; My AAS talk on Sky Surveys and Open Data; From SkyServer to SciServer","Alexander Szalay is an international leader in astronomy, cosmology, the science of big data, and data‐intensive computing who has significantly expanded the understanding of the structure formation and nature of dark matter in the universe. He has also led the development of computer architectures that are creating a new paradigm of data-intensive science across multiple fields.

Szalay’s research focuses on the statistical measures of the spatial distribution of galaxies and galaxy formation. He helped develop the Sloan Digital Sky Survey, an astronomy project working to create the most detailed three-dimensional map of the Universe ever made, which currently includes more than one quarter of the entire night sky. Szalay and his collaborators have built scientific databases that democratized access to supercomputer simulations, changing the way researchers approach astronomy. Szalay helped build a similar database for radiation oncology, and is currently working on designing one for high-throughput genomics.",Bloomberg 515,Bloomberg Center,http://www.sdss.jhu.edu/~szalay/
Alexander Pantelyat,Assistant Professor ,Neurology,"Neurodegenerative diseases; biomarker development and validation; PSP; CBS; DLB, MSA; Music-based interventions for neurodegenerative disease","Dr. Pantelyat's research explores atypical parkinsonian disorders, such as dementia with Lewy bodies, progressive supranuclear palsy, corticobasal syndrome/degeneration and multiple system atrophy; cognitive aspects of movement disorders; and music-based rehabilitation of neurodegenerative diseases.",Meyer 6-181C,855 N. Wolfe St,https://www.hopkinsmedicine.org/neurology_neurosurgery/research/labs/udall_center/team/alexander_pantelyat.html
Alexis Battle,Associate Professor,"Department of Biology,Biomedical Engineering,Computer Science",Genomics and machine learning; Systems Biology,"Battle’s research is concentrated on the development of computational biology tools and machine-learning strategies to examine genetic differences on gene regulation and disease. A leading member of the National Institutes of Health’s (NIH) Genotype-Tissue Expression (GTEx) Consortium, she focuses on predicting the effects of variation in noncoding DNA sequences.  Findings of her work on a GTEx project, which studied how genetic patterns lead to molecular changes within specific tissues, were published in 2017 in the journal Nature.

At JHU’s “Battle Lab” her research also includes development of new methods to evaluate and predict the impact of personal genomics, and rare genetic variants that may significantly impact an individual’s health.  These methods are helping to improve understanding of how genes work together and how their interconnected pathways may influence complex traits.  Additionally, Battle is involved in a host of ongoing research initiatives, from building integrative networks for genomic analysis of autism, supported by NIH, to predicting rare Mendelian disease variants using genomic data, funded by her Searle award and 2017 JHU Catalyst Award.  She is also the recipient of a 2019 Johns Hopkins Discovery Award for studying the genetics of atherosclerotic cardiovascular disease.",Wyman S249,Wyman Park Building,http://battlelab.jhu.edu/
Alfredo Kirkwood,Professor ,"Department of Biology,Department of Psychological & Brain Sciences,Program in Neuroscience,Mind/Brain Institute,Neuroscience","Developmental Neuroscience; Systems, Cognitive, Computational Neuroscience; Neural Circuits, Ensembles, Connectomes; Cellular + Molecular Neuroscience; Mechanisms of Cortical Modification","Mechanisms of Cortical Modification
Sensory experience has a profound influence in shaping the functional organization of the cerebral cortex. Over 30 years ago, Hubel and Wiesel described a critical period of postnatal development for the formation of binocular connections in cat visual cortex. They demonstrated that thisconnectivity can be dramatically altered by simple forms of sensory deprivation, such as the temporary closure of one eyelid (monoculardeprivation). Besides the obvious relevance of this neural plasticity to the development of visual capabilities in humans and animals, it seems likely hat similar processes form the basis for some forms of learning and memory in the adult brain. Indeed, visual cortical plasticity, like learning andmemory formation decreases with age and depend on the internal state of the animal. The research in this lab is directed toward elucidating thebasic mechanisms by which visual experience can modify cortical connections in the visual cortex, and how those mechanisms are regulated.

 We investigate in visual cortical slices two forms of activity-dependent synaptic plasticity: long-term potentiation (LTP) and long-term depression (LTD). These two forms of synaptic plasticity are currently the most comprehensive models of the elementary mechanisms underlying naturallyoccurring plasticity. Research done the past few has established that LTP and LTD have the appropriate properties to account for important features of naturally-occurring synaptic modification in visual cortex. Furthermore, changes in LTP and LTD during development correlate withchanges in naturally-occurring synaptic modification.

We are currently focused on how synaptic inhibition and the action of neuromodulators regulate the induction of LTP and LTD duringdevelopment. The results of these investigation suggest two hypotheses. 1) The development of synaptic inhibition restricts the induction of LTPand LTD, and henceforth, the modification by experience to a short critical period. 2) The action of neuromodulators released during arousal is to enhance the induction LTP and LTD by orders of magnitude, thus enabling experience to modify the visual cortex. Our expectation is that by testing these specific hypothesis we are stand to gain a better understanding of how naturally occurring plasticity is regulated.",Brain/ Dunning 350,Dunning,
Ali Fattahi,Assistant Professor,"Operations Management & Business Analytics,Health","Mass Customization, Energy Management, Large-Scale Optimization, Stochastic Dynamic Programming, Multi-Objective Optimization","My research interests are in the areas of mass customization/personalization, energy management, and healthcare.  I am also interested in the methodologies of large-scale optimization, design and analysis of algorithms, and multi-objective optimization.",HE Room 1322,Gilman Hall,https://carey.jhu.edu/faculty/faculty-directory/ali-fattahi
Aline Thomas,Assistant Professor ,"Radiology and Radiological Science,Institute for Cell Engineering","Molecular imaging, MRI, Immunity, Immunotherapy, Cancer, Multiple Sclerosis","My research would be of interest to those with a desire learning any of the following: 
Engineering (biomaterials, immunotherapy)
Biology (metabolism, cancer immunity, autoimmunity/MS, neuroinflammation)
Computation (MRI/imaging, modeling)

At present, we are often unable to ascertain the reason an (immuno)therapy fails. My studies aim to develop imaging probes that can be combined into noninvasive “assays” that can specifically identify the immunological mechanisms responsible for the disease in order to facilitate and to accelerate treatment decisions (selection, efficacy evaluation). ",MRB 643A,Miller Research Building,
Alison Papadakis,Associate Teaching Professor,Department of Psychological & Brain Sciences," Clinical psychology, adolescent psychopathology, depression, stress & coping","With my collaborators, I explore stress, coping, peer processes, psychopathology, and gender. We are interested in questions such as: How do adolescents and emerging adults cope with stress? What coping strategies are effective, and which ones increase vulnerability to psychopathology, including depression, anxiety, eating disorders, and self-injury? What peer experiences induce stress and psychopathology? How can peers serve as resources for one another when they experience stress?

In our work, we see that certain stressors and coping responses are associated with increased risk for psychopathology and also that psychopathology can disrupt coping and peer and romantic relationship functioning. Among the stressors that we have examined are peer stressors such as bullying and relational victimization, but peer processes can also serve to mitigate the risk that stress poses for psychopathology.  For example, our work suggests that certain types of social support are associated with a reduction in risk for depression and self-injury. We are also studying the association between stress, psychopathology, and individual coping responses, such as problem solving, rumination, and mindfulness. In our work, we also investigate how these associations among stress, coping, peer processes, and psychopathology vary by gender and age.",Ames 137,Ames,
Alissa Murphy,Lecturer,Mechanical Engineering,,,Wyman Park Building,Wyman Park Building,
Alistair Kent,Assistant Professor ,Surgery,"Trauma, Critical Care, Acute Care Surgery, Health Services Research, Surgical Workforce, Machine Learning, Performance Improvement, Trauma Drills, Decision Support, GIS, Health Economics","Our group is focused on understanding the evolving healthcare landscape and engineering solutions to tomorrow's workforce challenges.  

In support of these goals we have developed and currently manage an ongoing Lean management based performance and process improvement program headquartered in the Trauma program at Bayview Medical Center built on regularly recurring, high cognitive fidelity, live drills.  We have made significant gains in efficiency and staff engagement in high acuity trauma resuscitations by conducting user oriented, evidence based structure and process redesign bolstered by rapid cycle improvement sprints.   Current work aims to apply similar techniques to other critical, time sensitive care processes including Difficult Airway Response and Massive Transfusion Protocol.

We are actively engaged in developing additional systems to expand the scale and improve the quality of care for time sensitive and life threatening illnesses.   ","Johns Hopkins Hospital, 6th Floor Zayed Tower, Suite 6107",The Johns Hopkins Hospital,
Allan Gelber,Professor ,"Medicine,Epidemiology,Rheumatology"," rheumatology, gout, Sjogren's syndrome, scleroderma, race, health disparities, rheumatoid arthritis

","The Allan Gelber Lab conducts research on the clinical epidemiology of rheumatic disorders. Our recent studies have explored topics that include the predicting factors of prevalent and incident gout; cardiovascular disease burden and risk in patients with rheumatoid arthritis; autoantibodies in both primary and secondary SjogrenÕs syndrome; and predictors of outcomes in patients with scleroderma. In addition, we have a long-standing interest in the ways in which racial differences affect disease manifestations in relation to rheumatic disorders.","5200 Eastern Ave., Mason F. Lord Building, Center Tower, Suite 4100, Baltimore, Maryland 21224",5200 Eastern Ave,https://www.hopkinsmedicine.org/research/labs/allan-gelber-lab
Allan Gottschalk,Professor ,"Anesthesiology and Critical Care Medicine,Neurosurgery",Acute perioperative pain; Nonlinear dynamics of respiratory pattern generation; Informational aspects of sensory perception and the representation of sensory input; Biophysical models of general anesthetic action on the central nervous system; Neuropathic pain,"A research faculty member in the cerebroscience and pain programs at the Department of Anesthesiology and Critical Care Medicine, Dr. Gottschalk investigates the mechanism of chronic pain associated with nerve injury, also known as neuropathic pain. As an affiliated faculty member at the Institute for Computational Medicine, he is interested in biophysical models of general anesthetic action on the central nervous system; informational aspects of sensory perception and the representation of sensory input; nonlinear dynamics of respiratory pattern generation; and acute perioperative pain.",Phipps 455b,Phipps,
Alvaro Muñoz,Professor,"Biostatistics,Environmental Health and Engineering,Epidemiology",Statistics in Epidemiology; Cohort Studies; Survival Analysis; Analysis of Longitudinal Data; Kidney Disease; Infectious Diseases; Pelvic Floor Disorders; chemoprevention of cancer.,"Alvaro Muñoz, PhD, develops data analysis methods for long-term cohort disease studies including kidney, pelvic floor, infectious and respiratory disease, and liver cancer.","615 N. Wolfe Street, E7648, Baltimore, Maryland 21205",615 N. Wolfe Street,
Amanda Lauer,Associate Professor ,Otolaryngology - Head and Neck Surgery,Hearing loss; deafness; ear; brainstem; temporal bone; sensory loss; aging; noise; TBI; Alzheimers Disease; hereditary conditions; comparative hearing; DEIA in science and medicine,"Hearing loss affects nearly 40 million American and is associated with increased rates of depression, dementia, and higher healthcare costs. Our lab uses mouse models of age and noise-induced hearing loss to study changes in the auditory system and compares these to findings from mice to human temporal bone specimens selected from the large collection in the Center for Hearing and Balance. We also investigate the intersection of aging with conditions that accelerate neurodegeneration such as traumatic brain injury and Alzheimer's Disease. Opportunities for students include gaining skills in tissue processing (ear and brain), quantifying cellular damage patterns in the ear and brainstem, immunohistochemistry, and phenotyping.",521,Johns Hopkins Hospital,http://www.lauerlab.com/
Amanda Palmer,Assistant Professor,International Health,international nutrition; vitamin A; biofortification; supplementation; developmental programming; immune function; child survival,,"615 N. Wolfe Street, Room E2608, Baltimore, Maryland 21205","615 N. Wolfe Street,",https://www.jhsph.edu/faculty/directory/profile/2655/amanda-c-palmer
Amanda Ruzicka,Senior Research Associate,Mental Health,Child sexual abuse; Prevention; Childhood maltreatment; School-based prevention interventions; Online interventions,"My research is predominantly focused on identifying, developing, and testing methods to prevent child sexual abuse. Specifically, my research has focused on identifying the scope of child sexual abuse, developing and testing perpetration prevention interventions for children and adolescents, and the collateral consequences of juvenile sex offender policies in the United States. I am particularly interested in identifying and developing methods to conduct research on sensitive topics with vulnerable populations.","624 N. Broadway, Hampton House 841, Baltimore, Maryland 21205",621 N. Washington Street,
Amber D'Souza,Professor,"Oncology, Sidney Kimmel Comprehensive Cancer Center,Epidemiology,International Health",risk behavior; infectious disease epidemiology; global cancer; HPV; HIV; STD; translational epidemiology; cohort studies; epidemiology methods; datacenter; infection-related cancer; cancer trends; global cancer epidemiology; HPV-related oropharyngeal cancers,"Dr D'Souza's primary research interest is in infectious causes of cancer. Current research explores the association between Human Papillomavirus (HPV) and oral, cervical and anal cancers, the natural history and concordance of oral and anogenital HPV infection, and HPV tropism.

Dr. D'Souza also has active research programs evaluating cancer screening methods and potential biomarkers. Additional interests include the role of behavioral factors on viral acquisition and persistence, epidemiology of sexually transmitted infections, the effect of viral load and drug use on disease progression, the epidemiology of HIV/AIDS, and infectious causes of AIDS malignancy.","615 N. Wolfe Street, Room E6132B, Baltimore, Maryland 21205",615 N. Wolfe Street,
Amie Bettencourt,Assistant Professor ,"Psychiatry and Behavioral Sciences,Mental Health",Child Psychology; Prevention Science; Parenting; Evidence-based Interventions; Aggression and Peer Victimization; Research Methods;," Understanding the role of parenting, self-regulation deficits, and aspects of the school environment in the development and maintenance of disruptive behavior problems and the experience of peer victimization; Examining the impacts, scalability, and sustainability of evidence-based interventions designed to target disruptive behavior problems and peer victimization in childhood and adolescence.","550 N. Broadway, Room 907, Baltimore, Maryland 21205","550 N. Broadway,",
